,name,market,funding_total_usd,status,funding_rounds,State_code,City,founded_at,company_name,acquired_at,price_amount
19968,Awarepoint,Online_Tech,60000000,operating,4,CA,San Diego,2002-01-01,,,
19969,Steak & Hoagie Shop,Service,0,operating,1,PA,Philadelphia,1996-01-01,,,
19970,Stealth Therapeutics,Medical,451916,operating,1,WI,Madison,2006-01-01,,,
19971,Stealth10,Gaming,0,operating,1,CA,Menlo Park,2011-06-01,,,
19972,Stealz,Online_Tech,423000,,1,NC,Raleigh,2013-01-31,,,
19973,STEARCLEAR,Online_Tech,1100000,operating,2,NJ,Wyckoff,,,,
19974,Steel Wool Entertainment,Gaming,0,operating,1,CA,Los Angeles,2012-10-31,,,
19975,AwayFind,Online_Tech,800000,operating,4,CA,Walnut,2008-01-01,,,
19976,"Steelbox, Inc.",Online_Tech,10000000,acquired,1,GA,Alpharetta,2003-01-01,"Steelbox, Inc.",2009-01-23,
19977,SteelBrick,Online_Tech,11500000,operating,2,CA,Palo Alto,2009-01-01,,,
19978,SteelCloud,Online_Tech,2180000,operating,1,VA,Ashburn,,,,
19979,Steelhead Composites,Manufacturing,4405204,,2,CO,Golden,,,,
19980,SteelHouse,Online_Tech,14550000,operating,3,CA,Culver City,2009-05-01,,,
19981,Steelwedge Software,Online_Tech,16000000,operating,1,CA,Pleasanton,2000-01-01,,,
19982,Steeplechase Networks,Online_Tech,747500,operating,1,MA,Southfield,,,,
19983,STEGOSYSTEMS,Online_Tech,527160,operating,2,MA,Holden,,,,
19984,AWCC Holdings,Online_Tech,100000000,operating,1,CT,Old Saybrook,,,,
19985,Stelcor Energy,Online_Tech,0,operating,1,AZ,Tucson,2005-01-15,,,
19986,Stella & Dot,Online_Tech,37000000,operating,1,CA,San Bruno,2004-01-01,,,
19987,Stellar,Nonprofits,3000000,operating,1,CA,San Francisco,2013-04-30,,,
19988,Stellar Biotechnologies,Medical,17566976,,6,CA,Port Hueneme Cbc Base,1999-01-01,,,
19989,Stellar Loyalty,Online_Tech,5000000,operating,1,CA,Foster City,2014-05-01,,,
19990,Stellaris,Online_Tech,7450000,operating,2,MA,North Billerica,2005-01-01,,,
